iHS	iHH	Fst	DAF	XPEHH
1e-10	0.0017015530456134294	0.14531514042707708	1e-10	0.00060726631030286887
1e-10	0.00012110697833547542	0.096677513512003682	1e-10	0.00063753503605005232
9.0830233751606558e-06	0.00015743907183611805	0.10104976979549274	1e-10	0.0012569088366517947
7.5691861459672137e-06	0.00015895290906531149	0.060150179927284241	1e-10	0.0022992880795704262
1.2110697833547542e-05	0.00023161709606659672	0.054283572848437447	1e-10	0.0041963804657751515
1.9679883979514756e-05	0.00020134035148272787	0.058123262991774088	4.5403019906197361e-06	0.0073507600477035117
2.2707558437901639e-05	0.00024372779390014428	0.04480352312985024	1.8917924960915568e-06	0.011981118368878907
4.0873605188222954e-05	0.0002876290735467541	0.046677746276925079	1.5134339968732454e-05	0.018085563633942137
8.7802559293219672e-05	0.00038451465621513445	0.036727511417119392	2.2323151453880368e-05	0.026153314122782059
0.00010899628050192788	0.00038602849344432789	0.037220973050477398	5.1078397394472033e-05	0.035778768910386408
0.0001347315133982164	0.00043749895923690495	0.031013598126707911	8.4752303824901738e-05	0.046831015757898622
0.00027551837571320657	0.00065700535746995414	0.030566689477628962	0.00012447994624282442	0.056771643652345521
0.00041327756356980983	0.00083866582497316719	0.025446792266618251	0.00020961060856694447	0.066488661335335111
0.00062218710119850494	0.023627971473251252	0.024486869730784091	0.00028944425190200818	0.072364956080078938
0.00098399419897573777	0.025600501382890307	0.021071742804072455	0.00043170704760809323	0.076350590542839325
0.0015032403685890886	0.021266385395709481	0.020551280439832596	0.00064888482615940398	0.076824296100782744
0.0025493018939617574	0.017661938952999896	0.017232983720421396	0.0010015149474308701	0.074800453425511698
0.004087360518822295	0.025225069750050334	0.016465790539502534	0.0013503614837101531	0.068840541325891264
0.0059811708925432919	0.045587694319931329	0.014372768366316123	0.0019231962515266765	0.061762956528056079
0.0093585417508738628	0.060255263233586598	0.01323966872896387	0.0027018580429179614	0.055191237809270703
0.012649623887140407	0.11312148695148	0.011753697470776365	0.0032822599807188508	0.047747779788966445
0.017754283023980695	0.19153220007478355	0.010987435349543082	0.0051808629297963368	0.040489717713863685
0.024955606723253903	0.20224259847132717	0.0094595664055044243	0.0071229771062839295	0.033473048726594706
0.032694342638890782	0.090297363046930465	0.008422365915767031	0.0085565774598221102	0.026504052982377548
0.041477626242671137	0.040838786931951504	0.0071952292501710818	0.012054501785095399	0.02149647066657788
0.051111686369258204	0.026896346051079895	0.0065937646932856635	0.018019323525272076	0.016653096187956681
0.060427840677714652	0.016070896025117586	0.0055277013532952527	0.023992847510930778	0.0126912983467222
0.069348883469351613	0.014022674254018859	0.0053824560423445947	0.041823370145092915	0.0095940509846416493
0.076367032863892403	0.013441360758008577	0.0044067054918555558	0.10146893903736517	0.0072293067856429383
0.080112266168916979	0.010232025832118479	0.0044048433724843935	0.47809228617826133	0.0054438303256309512
0.080289385124732618	0.0060265860094190953	0.003325745196895847	0.11872662690371079	0.0038789372045015648
0.078834587547477714	0.0051061729740694822	0.0033620565246335115	0.038356849575254752	0.0027714802012264888
0.072612716535492672	0.0040510284253216528	0.0027875926986299458	0.028947452058194566	0.0020749211499694288
0.064659015733310329	0.0037694547006916724	0.0027196253415825221	0.022934957147116377	0.0017714771743539142
0.054661634671716829	0.0032608053916826753	0.0024188930631398125	0.016088181745261818	0.0012368558058442856
0.045275843850717486	0.0028111957346122229	0.0019142587135548325	0.013168389206794109	0.00077298758376869846
0.034510947313922916	0.0024281949156262821	0.001653562001592112	0.011559608868117847	0.00049413694782277052
0.025621695104099017	0.0022631866576441968	0.0014803849000740192	0.0089913113754239507	0.00037003517225931825
0.018443078963263713	0.0021784117728093641	0.0012746207095605865	0.0073541541493063172	0.00023533934268435167
0.012272678417071239	0.0020209727009732458	0.0012951040226433716	0.0061710271222506583	0.00016118096460375212
0.007799289404804617	0.0016879285105506885	0.0011582382488629433	0.0047661820146530677	0.0001373443430778451
0.0051667264632372194	0.0014971850196723148	0.00089195517878673612	0.0036220259130168944	7.6050173439798526e-05
0.0027143101519438427	0.0012701094352932983	0.00081095298614117662	0.0029334134444395678	3.707918904029978e-05
0.0017560511858643935	0.0011429471080410493	0.00069550158512911471	0.0023068517697340443	1.3999285658072366e-05
0.00097491117560057712	0.0011565716431037902	0.00057353276631798484	0.0015951594327044006	1.5891081017271336e-05
0.00056466128648915406	0.0010278954786223475	0.00048228891713103267	0.0013185793697758151	8.3238995804754606e-06
0.00032396116704739675	0.00093252373318316066	0.00066943191393284266	0.0008989797941427077	1.0972413083354018e-05
0.00016046674629450493	0.00094766210547509507	0.00037707917266036338	0.00060802210824382628	1.3999285658072366e-05
0.00011202395496031476	0.00079325070809736396	0.00035100950146409133	0.00047143469002601594	1.8161235448310098e-05
8.0233373147252466e-05	0.00076448780074268852	0.00040687308259895999	0.0002996599313809026	1.0972413083354018e-05
4.8442791334190166e-05	0.00069787896265817711	0.00029700803970038499	0.00020998896706616278	8.7022586523152547e-06
3.1790581813062293e-05	0.00061159024059415079	0.00028583532347341127	0.00011729113475767652	4.5403088620775244e-06
1.9679883979514756e-05	0.0005419537280512525	0.00022717856328179919	6.9617963856169284e-05	1e-10
1.3624535062740985e-05	0.00068425442759543608	0.00020110889208552714	2.1188075956225435e-05	1e-10
6.0553489167737708e-06	0.00060553489167737703	0.00016852180309018711	1.9296283460133878e-05	1e-10
7.5691861459672137e-06	0.00043447128477851806	0.00011265822195531844	5.2970189890563586e-06	1e-10
1.5138372291934427e-06	0.000461720354904	0.00011638246069764302	3.0268679937464906e-06	1e-10
1e-10	0.00042387442417416392	6.2380998933936663e-05	1e-10	1e-10
1e-10	0.00040873605188222951	8.1933252331140686e-05	1e-10	1e-10
1e-10	0.006355088688154072	0.00024207551825109749	1e-10	1e-10
